🕘️更新时间,#genre#
2025-06-13 19:11:11,http://8.138.7.223/tv/ptbtv.php

📺央视频道,#genre#
CCTV1,http://8.138.7.223/tv/ptbtv.php
CCTV1,http://smart.tv.home.kg/smtv.php?id=cctv1
CCTV1,http://114.238.59.253:4000/rtp/239.49.8.19:9614
CCTV1,http://180.105.218.230:4022/rtp/239.49.8.19:9614
CCTV1,http://113.104.185.20:7088/udp/239.77.1.144:5146
CCTV1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV1,http://110.231.37.126:9999/udp/239.253.92.83:8012
CCTV1,https://hyf000.eu.org/80947108/CCTV1-1
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV1,http://8.138.7.223/tv/hot.php?id=1
CCTV1,http://8.138.7.223/tv/hot.php
CCTV1,http://111.167.220.229:8086/udp/225.1.1.120:5002
CCTV1,http://121.25.31.183:8686/udp/239.253.92.83:8012
CCTV1,http://115.58.216.5:4000/rtp/225.1.4.73:1102
CCTV1,http://117.8.142.105:8834/rtp/225.1.1.120:5002
CCTV1,http://111.193.239.245:9999/rtp/239.3.1.129:8008
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1,http://220.169.100.41:10087/udp/239.76.246.151:1234
CCTV2,http://smart.tv.home.kg/smtv.php?id=cctv2
CCTV2,http://113.104.185.20:7088/udp/239.77.1.158:5146
CCTV2,http://113.101.245.228:9988/udp/239.77.1.158:5146
CCTV2,http://111.162.204.51:8686/rtp/225.1.1.133:5002
CCTV2,http://110.231.37.126:9999/udp/239.253.92.190:6065
CCTV2,http://180.105.218.230:4022/rtp/239.49.8.50:9802
CCTV2,http://60.17.77.95:40001/rtp/232.0.0.135:1234
CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV2,http://59.35.185.47:8188/udp/239.77.1.158:5146
CCTV2,http://220.169.100.41:10087/udp/239.76.253.152:9000
CCTV2,http://114.107.44.166:8188/rtp/238.1.78.235:7752
CCTV2,http://125.123.121.210:8188/udp/233.50.200.25:5140
CCTV2,http://121.25.31.183:8686/udp/239.253.92.190:6065
CCTV2,http://222.67.24.171:1688/rtp/239.45.3.208:5140
CCTV2,http://111.194.11.30:8188/rtp/239.3.1.60:8084
CCTV2,http://140.250.221.14:4022/udp/239.21.1.151:5002
CCTV2,http://222.218.122.114:8188/udp/239.81.0.115:4056
CCTV2,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV3,http://smart.tv.home.kg/smtv.php?id=cctv3
CCTV3,http://113.104.185.20:7088/udp/239.77.0.169:5146
CCTV3,http://110.231.37.126:9999/udp/239.253.92.191:6057
CCTV3,http://222.67.24.171:1688/rtp/239.45.1.68:5140
CCTV3,http://60.17.77.95:40001/rtp/232.0.0.170:1234
CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV3,http://8.138.7.223/tv/hot.php?id=3
CCTV3,http://xg.52sw.top/play/kzb/play.php?id=cctv3
CCTV3,http://220.169.100.41:10087/udp/239.76.246.153:1234
CCTV3,http://117.8.142.105:8834/rtp/225.1.1.158:5002
CCTV3,http://115.58.216.5:4000/rtp/225.1.4.158:1194
CCTV3,http://111.193.239.245:9999/rtp/239.3.1.172:8001
CCTV3,http://59.35.185.47:8188/udp/239.77.0.169:5146
CCTV3,http://111.194.11.30:8188/rtp/239.3.1.172:8001
CCTV3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV3,http://220.169.100.41:10087/udp/239.76.253.153:9000
CCTV3,http://125.123.121.210:8188/udp/233.50.201.196:5140
CCTV3,http://114.107.44.166:8188/rtp/238.1.78.170:7232
CCTV4,http://smart.tv.home.kg/smtv.php?id=cctv4
CCTV4,http://113.104.185.20:7088/udp/239.77.1.163:5146
CCTV4,http://220.169.100.41:10087/udp/239.76.245.195:1234
CCTV4,http://220.169.100.41:10087/udp/239.76.246.154:1234
CCTV4,http://220.169.100.41:10087/udp/239.76.253.154:9000
CCTV4,http://117.8.142.105:8834/rtp/225.1.1.150:5002
CCTV4,http://114.226.205.65:4022/rtp/239.49.8.131:6000
CCTV4,http://60.17.77.95:40001/rtp/232.0.0.201:1234
CCTV4,http://110.231.37.126:9999/udp/239.253.93.192:6370
CCTV4,http://180.105.218.230:4022/rtp/239.49.8.131:6000
CCTV4,http://111.167.220.229:8086/udp/225.1.1.150:5002
CCTV4,http://117.13.121.247:4022/rtp/225.1.1.150:5002
CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV4,http://8.138.7.223/tv/hot.php?id=4
CCTV4,http://114.107.44.166:8188/rtp/238.1.78.236:7760
CCTV4,http://xg.52sw.top/play/kzb/play.php?id=cctv4
CCTV4,http://222.218.122.114:8188/udp/239.81.0.96:4056
CCTV4,http://140.250.221.14:4022/udp/239.21.1.154:5002
CCTV5,http://113.104.185.20:7088/udp/239.77.0.170:5146
CCTV5,http://121.25.31.183:8686/udp/239.253.92.181:6046
CCTV5,http://113.101.245.228:9988/udp/239.77.0.170:5146
CCTV5,http://220.169.100.41:10087/udp/239.76.253.155:9000
CCTV5,http://222.212.84.190:54123/udp/239.93.42.37:5140
CCTV5,http://59.35.185.47:8188/udp/239.77.0.170:5146
CCTV5,http://220.169.100.41:10087/udp/239.76.254.214:9000
CCTV5,http://117.8.142.105:8834/rtp/225.1.1.160:5002
CCTV5,http://1.203.76.71:8899/rtp/225.1.8.89:8000
CCTV5,http://220.169.100.41:10087/udp/239.76.246.155:1234
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://114.107.44.166:8188/rtp/238.1.78.171:7240
CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV5,http://qwt.zhibotv.top:2016/%E5%85%A8%E7%BD%91%E9%80%9A.php?id=CCTV5
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV5,http://125.123.121.210:8188/udp/233.50.201.197:5140
CCTV5,http://117.13.121.247:4022/rtp/225.1.1.160:5002
CCTV5+,http://113.104.185.20:7088/udp/239.77.1.31:5146
CCTV5+,https://hyf000.eu.org/80947108/CCTV5+
CCTV5+,http://113.104.185.20:7088/udp/239.77.0.87:5146
CCTV5+,http://180.105.218.230:4022/rtp/239.49.8.18:9610
CCTV5+,http://110.231.37.126:9999/udp/239.253.92.82:8013
CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p
CCTV5+,http://222.218.122.114:8188/udp/239.81.0.101:4056
CCTV5+,http://117.13.121.247:4022/rtp/225.1.1.121:5002
CCTV5+,http://113.65.9.152:4013/udp/239.77.1.31:5146
CCTV5+,http://59.35.185.47:8188/udp/239.77.1.31:5146
CCTV5+,http://114.107.44.166:8188/rtp/238.1.78.237:7768
CCTV5+,http://111.194.11.30:8188/rtp/239.3.1.130:8004
CCTV5+,http://113.101.245.228:9988/udp/239.77.0.87:5146
CCTV5+,http://220.169.100.41:10087/udp/239.76.254.215:9000
CCTV5+,http://121.25.31.183:8686/udp/239.253.92.82:8013
CCTV5+,http://111.162.204.51:8686/rtp/225.1.1.121:5002
CCTV5+,http://114.226.205.65:4022/rtp/239.49.8.18:9610
CCTV5+,http://171.213.153.114:4022/udp/239.93.1.36:8004
CCTV6,http://smart.tv.home.kg/smtv.php?id=cctv6
CCTV6,http://xg.52sw.top/play/kzb/play.php?id=cctv6
CCTV6,http://113.104.185.20:7088/udp/239.77.0.171:5146
CCTV6,http://8.138.7.223/tv/hot.php?id=6
CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV6,http://220.169.100.41:10087/udp/239.76.246.156:1234
CCTV6,http://113.101.245.228:9988/udp/239.77.0.171:5146
CCTV6,http://115.58.216.5:4000/rtp/225.1.4.160:1196
CCTV6,http://101.126.22.199:35455/douyin/208823316033
CCTV6,http://111.167.220.229:8086/udp/225.1.1.195:5002
CCTV6,http://125.123.121.210:8188/udp/233.50.201.198:5140
CCTV6,http://171.15.18.199:8180/TV00000000000000000006@HHZT
CCTV6,http://117.8.142.105:8834/rtp/225.1.1.195:5002
CCTV6,http://121.25.31.183:8686/udp/239.253.92.193:6058
CCTV6,http://114.107.44.166:8188/rtp/238.1.78.172:7248
CCTV6,http://222.218.122.114:8188/udp/239.81.0.233:4056
CCTV6,http://220.169.100.41:10087/udp/239.76.253.156:9000
CCTV6,http://114.254.37.151:18888/rtp/239.3.1.174:8001
CCTV7,http://smart.tv.home.kg/smtv.php?id=cctv7
CCTV7,http://113.104.185.20:7088/udp/239.77.0.138:5146
CCTV7,http://xg.52sw.top/play/kzb/play.php?id=cctv7
CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV7,http://8.138.7.223/tv/hot.php?id=7
CCTV7,http://113.101.245.228:9988/udp/239.77.0.138:5146
CCTV7,http://117.13.121.247:4022/rtp/225.1.1.138:5002
CCTV7,http://121.25.31.183:8686/udp/239.253.92.194:6059
CCTV7,http://113.65.9.152:4111/udp/239.77.0.138:5146
CCTV7,http://140.250.221.14:4022/udp/239.21.1.152:5002
CCTV7,http://115.58.216.5:4000/rtp/225.1.4.76:1105
CCTV7,http://59.35.185.47:8188/udp/239.77.0.138:5146
CCTV7,http://114.107.44.166:8188/rtp/238.1.78.239:7784
CCTV7,http://117.8.142.105:8834/rtp/225.1.1.138:5002
CCTV7,http://171.15.18.199:8180/TV00000000000000000007@HHZT
CCTV7,http://180.165.26.52:4022/rtp/239.45.3.56:5140
CCTV7,http://220.169.100.41:10087/udp/239.76.253.157:9000
CCTV7,http://220.169.100.41:10087/udp/239.76.246.157:1234
CCTV8,http://smart.tv.home.kg/smtv.php?id=cctv8hd
CCTV8,http://113.104.185.20:7088/udp/239.77.0.172:5146
CCTV8,http://xg.52sw.top/play/kzb/play.php?id=cctv8
