更新时间,#genre#
2024-11-02 06:38:44,url
📺央视频道,#genre#
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://59.62.8.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV1,http://113.220.232.121:9999/tsfile/live/0017_1.m3u8$订阅源
CCTV1,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://116.117.105.198:8096/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://39.98.201.151:9090/udp/225.1.8.101:8080$订阅源
CCTV1,http://101.43.66.162/migunew.php?id=cctv1$订阅源
CCTV1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://121.19.134.227:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$河北酒店源
CCTV1,http://139.196.151.191:5175/rtp/239.45.3.145:5140$上海电信组播源
CCTV1,http://123.56.129.203:2604/rtp/225.1.8.1:8008$组播源
CCTV1,http://120.55.49.231:8617/rtp/233.50.201.99:5140$组播源
CCTV1,http://120.55.49.231:8617/rtp/233.50.201.222:5140$组播源
CCTV1,http://123.56.129.203:2604/rtp/225.1.8.101:8080$组播源
CCTV1,http://122.9.151.210:887/rtp/238.255.2.91:5999$组播源
CCTV1,http://139.196.151.191:6846/rtp/239.45.3.145:5140$组播源
CCTV1,http://123.56.129.203:6472/rtp/225.1.8.1:8008$北京电信组播源
CCTV1,http://123.56.129.203:6472/rtp/225.1.8.101:8080$北京电信组播源
CCTV1,http://117.62.6.204:8887/rtp/239.49.8.129:6000$组播源|1920x1080
CCTV2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://www.zzlag.top:9087/tsfile/live/1011_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://210.22.75.86:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://111.14.181.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://58.57.21.166:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://58.57.21.166:9901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://121.19.134.227:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$河北酒店源
CCTV2,http://139.196.151.191:5175/rtp/239.45.1.109:5140$上海电信组播源
CCTV2,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV2,http://123.56.129.203:2604/rtp/225.1.8.102:8004$组播源
CCTV2,http://120.55.49.231:8617/rtp/233.50.201.2:5140$组播源
CCTV2,http://123.56.129.203:2604/rtp/225.1.8.2:8084$组播源
CCTV2,http://120.55.49.231:8617/rtp/233.50.201.119:5140$组播源
CCTV2,http://122.9.151.210:887/rtp/238.255.2.11:5999$组播源
CCTV2,http://123.56.129.203:6472/rtp/225.1.8.2:8084$北京电信组播源
CCTV2,http://123.56.129.203:6472/rtp/225.1.8.102:8004$北京电信组播源
CCTV2,http://117.62.6.204:8887/rtp/239.49.8.130:6000$组播源|1920x1080
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3$订阅源
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=$订阅源
CCTV3,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://122.139.47.206:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV3,http://223.151.49.74:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://1732e975z9.zicp.fun:8082/hls/3/index.m3u8$订阅源
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://121.24.98.154:8090/hls/11/index.m3u8$订阅源
CCTV3,http://59.62.8.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://113.57.20.158:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://121.19.134.227:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$河北酒店源
CCTV3,http://139.196.151.191:5175/rtp/239.45.1.68:5140$上海电信组播源
CCTV3,http://122.9.151.210:887/rtp/238.255.2.133:5999$组播源
CCTV3,http://120.55.49.231:8617/rtp/233.50.201.16:5140$组播源
CCTV3,http://123.56.129.203:2604/rtp/225.1.8.92:8000$组播源
CCTV3,http://139.196.151.191:6846/rtp/239.45.1.68:5140$组播源
CCTV3,http://120.55.49.231:8617/rtp/233.50.201.196:5140$组播源
CCTV3,http://123.56.129.203:2604/rtp/225.1.8.88:8000$组播源
CCTV3,http://123.56.129.203:6472/rtp/225.1.8.88:8000$北京电信组播源
CCTV3,http://123.56.129.203:6472/rtp/225.1.8.92:8000$北京电信组播源
CCTV3,http://coolcat.synology.me:4022/rtp/239.3.1.172:8001$组播源|1920x1080
CCTV4,http://59.62.8.250:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV4,http://gslbserv.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源
CCTV4,http://tvbox6.icu/tv/migu.php?id=cctv4$订阅源
CCTV4,http://117.72.68.25:9930/migu.php?id=cctv4a$订阅源
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV4,http://1b6467f415.iok.la:9931/tsfile/live/1023_1.m3u8$订阅源
CCTV4,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031102/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031102$订阅源
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV4,http://121.24.98.154:8090/hls/12/index.m3u8$订阅源
CCTV4,http://171.8.138.74:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV4,http://121.19.134.227:808/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$河北酒店源
CCTV4,http://139.196.151.191:5175/rtp/239.45.0.2:5140$上海电信组播源
CCTV4,http://120.55.49.231:8617/rtp/233.50.201.4:5140$组播源
CCTV4,http://123.56.129.203:2604/rtp/225.1.8.4:8092$组播源
CCTV4,http://139.196.151.191:6846/rtp/239.45.0.2:5140$组播源
CCTV4,http://123.56.129.203:2604/rtp/225.1.8.104:8216$组播源
CCTV4,http://120.55.49.231:8617/rtp/233.50.200.101:5140$组播源
CCTV4,http://123.56.129.203:6472/rtp/225.1.8.4:8092$北京电信组播源
CCTV4,http://123.56.129.203:6472/rtp/225.1.8.104:8216$北京电信组播源
CCTV4,http://117.62.6.204:8887/rtp/239.49.8.131:6000$组播源|1920x1080
CCTV4,http://coolcat.synology.me:4022/rtp/239.3.1.105:8092$组播源|1920x1080
CCTV5,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv$订阅源
CCTV5,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
